,date,store_nbr,family,sales,onpromotion,transactions,dcoilwtico,type,locale_name,transferred
1523815,2015-04-27,5.0,PRODUCE,2.0,0.0,1393.0,55.56,Not Holiday,Ecuador,False
2331932,2016-07-12,32.0,DELI,93.0,3.0,552.0,46.82,Not Holiday,Ecuador,False
2470873,2016-09-27,30.0,LAWN AND GARDEN,0.0,0.0,672.0,44.65,Not Holiday,Ecuador,False
2439438,2016-09-09,50.0,BABY CARE,0.0,0.0,2148.0,45.88,Not Holiday,Ecuador,False
2397579,2016-08-17,23.0,LADIESWEAR,20.0,0.0,1050.0,46.81,Not Holiday,Ecuador,False
295133,2013-06-14,33.0,CELEBRATION,0.0,0.0,912.0,97.83,Not Holiday,Ecuador,False
2892337,2017-05-20,4.0,CLEANING,973.0,30.0,1494.0,50.81,Not Holiday,Ecuador,False
2878251,2017-05-12,9.0,GROCERY I,5048.023,80.0,1903.0,47.83,Holiday,Puyo,False
1162844,2014-10-07,29.0,HARDWARE,0.0,0.0,0.0,88.89,Holiday,Quevedo,False
250511,2013-05-20,31.0,AUTOMOTIVE,6.0,0.0,1199.0,96.29,Not Holiday,Ecuador,False
3002067,2017-07-17,35.0,GROCERY I,2058.0,36.0,649.0,46.02,Not Holiday,Ecuador,False
21802,2013-01-13,12.0,HARDWARE,2.0,0.0,1166.0,94.27,Not Holiday,Ecuador,False
1621306,2015-06-20,44.0,CELEBRATION,42.0,0.0,5857.0,60.01,Not Holiday,Ecuador,False
799632,2014-03-21,39.0,AUTOMOTIVE,8.0,0.0,1263.0,99.97,Not Holiday,Ecuador,False
822484,2014-04-03,29.0,HOME AND KITCHEN II,0.0,0.0,0.0,100.29,Not Holiday,Ecuador,False
382452,2013-07-30,33.0,CLEANING,953.0,0.0,1082.0,103.14,Not Holiday,Ecuador,False
2420195,2016-08-30,6.0,PRODUCE,2120.911,4.0,1460.0,46.32,Not Holiday,Ecuador,False
1757823,2015-09-02,23.0,BEAUTY,1.0,0.0,1040.0,46.3,Not Holiday,Ecuador,False
